headline,content,newspaper
"‘타다’ 운전기사, 술 취한 여성 손님 사진 찍어 공유···타다 “진…",/VCNC제공렌터카 호출 서비스 ‘타다 베이직’ 운전기사가 술에 취한 여성 승객의 사진을 사회관계망서비스(SNS)에 공유한 것으로 드러났 …,경향신문
"""한국은 더 이상 IT 강국 아니다""",[ 송형석 기자  ]국내에서는 클라우드를 적극 개발하고 활용하는 곳이 일부 대기업에 그친다. KT의 이강수 IT기획실 인프라서비스 단장이 …,한국경제
'갤럭시노트10'의 모든 것,미국 IT매체 폰아레나의 갤럭시노트10 예상 이미지[아시아경제 임온유 기자] 삼성전자의 하반기 플래그십 스마트폰 '갤럭시노트10'이 8월 …,아시아경제
유한양행 또 홈런… 1조 규모 신약 기술 수출,非알코올성 지방간염 치료제… 독일 베링거인겔하임과 계약국내 매출 1위 제약사인 유한양행이 1조원 규모의 신약 기술 수출을 성사시켰다. 지 …,조선일보
[日경제보복] 핵심은 EUV…삼성 차세대 반도체 공정 노렸나,일본 정부의 보복성 수출 규제 여파가 일파만파로 퍼지고 있다. 반도체·디스플레이 생산에 필수적인 핵심 소재 3종의 수출 규제를 강화하며  …,조선비즈
"[단독] 민관, 작년부터 日 소재 대비책 모색",[사진=게티이미지]우리 정부와 반도체·디스플레이 업계가 일본 정부의 핵심 소재 수출 규제 가능성을 예상해 대비책을 마련해 온 것으로 파악 …,전자신문
잠든 女승객 '몰카 성희롱' 논란… 타다 측 공식 사과,"[머니투데이 서진욱 기자] [잠든 여성 승객 사진 찍어 채팅방 공유… 해당 기사와 즉각 '계약 해지', 성인지 교육 강화] 승차공유 서비 …",머니투데이
고동진 삼성 사장 “갤럭시폴드 준비 안 됐는데 밀어붙였다”,유럽 매체와 최근 인터뷰 “2천여 단말기 테스트 중 당혹스러워…시간 더 달라”고동진 삼성전자 정보기술·모바일부문장(사장). 삼성전자 제 …,한겨레
삼성 “갤럭시폴드 준비 미흡” 인정…노트10 8월 초 공개,"고동진 사장, 유럽 매체 인터뷰에서 “준비되기 전 밀어붙여…시간 더 달라” 갤럭시노트10 8월7일 뉴욕서 공개  삼성전자는 폴더블 스마 …",한겨레
"8월 7일 베일 벗는 '갤럭시 노트 10',  초청장 암호 풀어보니...",삼성전자가 오는 8월 7일(현지시간) 미국 뉴욕 부르클린 바클레이스 센터에 …,파이낸셜뉴스
갤럭시노트10 8월7일 공개(종합),[아시아경제 임온유 기자] 삼성전자가 프리미엄 스마트폰 '갤럭시노트10'을 내달 7일 미국 뉴욕에서 공개한다. 삼성전자는 2일 글로벌 미 …,아시아경제
[과학을읽다]폼나는 남자의 셔츠 길이는?,"빼서 입을 때 더 맵시있으며, 계절에 상관없이 일년 내내 입을 수 있는 장점을 가진 셔츠의 적정 길이는? [사진=UNTUCKit][아시아 …",아시아경제
"""시간 더 달라""는 고동진, 갤럭시폴드 7월 공개도 물 건너가나",[ 노정동 기자  ]고동진 삼성전자 대표(IM부문장)가 지난 2월 미국 샌프란시스코 빌그레이엄시빅오디토리움에서 열린 '갤럭시 언팩 201 …,한국경제
비트코인 1200만원도 깨졌다…한주 새 30% 급락,[ 김산하 기자  ]사진=PIXABAY가상화폐(암호화폐) 대장주 비트코인이 한 주새 고점 대비 30%가량 급락했다. 지난달 26일 연중  …,한국경제
모기는 왜 나만 물릴까? 이유가 있습니다!,"YTN 라디오 ‘뉴스FM, 조현지입니다’]■ 방송 : YTN 라디오 FM 94.5 (12:20~14:00)■ 진행 : 조현지 아나운서■  …",YTN
"테슬라, 배터리 내재화 추진...일 파나소닉 직격탄?",테슬라가 전기차용 배터리 자체 생산을 추진 중인 것으로 확인됐다.테슬라는 그동안 일본 파나소닉 배터리를 주로 구매해왔다. 배터리 생산을  …,전자신문
"위메프투어, 대한항공 모든 노선 할인",선착순 3만 명에게 4% 할인 쿠폰 지급(지디넷코리아=백봉삼  기자)위메프가 위메프투어 서비스 출시를 기념해 대규모 여행상품 할인행사 & …,ZDNet Korea
"""기업은 문닫을 판인데""...노동계, 최저임금 `1만원` 요구","노동계가 내년도 최저임금으로 시간당 1만원을 제시했다. 중소기업, 소상공인들을 중심으로 최저임금을 동결해야 한다는 목소리가 커지는 상황에 …",디지털타임스
"女승객 성희롱 사건에…타다 ""사과드린다. 기사 법적조치 검토""",타다 베이직(VCNC 제공)[이데일리 한광범 기자] 일부 타다 드라이버들이 술취한 여성 승객 사진을 채팅방에 공유하고 성희롱 발언을 한  …,이데일리
“일부의 일탈?”…‘타다’ 오픈채팅방에서는 무슨 일이,"브이씨앤씨(VCNC) ‘타다’ 일부 드라이버(운전기사)들이 카카오톡 ‘오픈채팅방’에서 여성승객을 상대로 성희롱을 일삼고, 만취한 여성승객 …",블로터
S펜 자체가 카메라..'꿈의 노트' 나올까,삼성전자가 오는 8월 7일(현지시간) 미국 뉴욕 브루클린 바클레이스센터에서 '갤럭시 노트10' 언팩 …,파이낸셜뉴스
베일 벗는 갤노트10…'16초 티저영상'에 담긴 '스펙 코드' 뜯어보니,삼성전자가 갤럭시노트10 언팩을 오는 8월7일 미국 뉴욕 브루클린 바클레이스센터에서 개최한다. ⓒ 뉴스1(서울=뉴스1) 김일창  …,뉴스1
"한·일 갈등, '반도체·디스플레이' 핵심 소재로 번졌다",우리 정부가 일본의 반도체·디스플레이 핵심 소재 수출 규제에 대응해 세계무역기구(WTO) 제소를 포함한 모든 조치를 강구한다.성윤모 산업 …,전자신문
"'갤노트10' 8월7일 美 뉴욕서 '언팩'…""S펜·카메라 또 한번 진화""",삼성전자가 갤럭시노트10 언팩 초청장을 발송했다. ⓒ 뉴스1(서울=뉴스1) 김일창 기자 = 삼성전자가 하반기 전략 스마트폰 '갤 …,뉴스1
'갤럭시노트10' 8월7일 공개…이번에도 핵심은 'S펜',[아이뉴스24 윤선훈 기자] 삼성전자의 '갤럭시노트10'이 다음달 7일(현지시간) 미국 뉴욕에서 공개된다.삼성전자는 7일 오후 4시(한국 …,아이뉴스24
"[단독]SKT, 韓 양자암호통신 국제표준화 방해..회사측 ""유감""",[이데일리 김현아 기자]SK텔레콤(017670)이 국제표준화 회의에서 국내 양자암호통신 기술이 국제표준으로 채택되는 것을 방해한 것으로  …,이데일리
"고동진 ""준비 안됐는데 밀어붙여 ...갤폴드 출시 시간 더달라""",고동진 삼성전자 IM부문장(사장)이 지난 2월 미국 샌프란시스코에서 갤럭시 폴드를 소개하고 있다./사진제공=삼성전자[서울경제] 고동진 삼 …,서울경제
"카카오톡 프로필 개편…""자유롭게 꾸미자""",카카오가 카카오톡 프로필 영역을 개편했다고 2일 밝혔다.카카오톡 프로필 영역 개편 모습. /카카오 제공우선 이번 개편을 통해 프로필 배경 …,조선비즈
"[단독] 日 PC업계, 韓 반도체 수급 상황 점검나서","업계 관계자 ""공급선 교체보다는 리스크 관리 차원""(지디넷코리아=권봉석  기자)일본 주요 PC 업체들이 최근 DDR3/ …",ZDNet Korea
"""오무아무아는 인공물 아닌 우주의 자연적 산물""","미·유럽 연구팀, 기존 자료 재검토 결과 논문 제출 성간 천체 오무아무아 상상도 [ESO/M.Kornmesser 제공] (서울=연합뉴스) …",연합뉴스
